,RLG Index,RLV Index,VIX Index,,,,RLG Index,RLV Index,,,,,,,,,,
,PX_LAST,PX_LAST,PX_LAST,Spread,,,Return,Return,,,,,,,,,,
#NAME?,200.00,#NAME?,#NAME?,,,,,,,,,,,,,,,
9/1/92,201.17,200.83,13.40,#NAME?,,,0.58%,#NAME?,,,vix_index,r_growth_(t-1),r_value_(t-1),p_growth_(t-1),p_value_(t-1),p_joint_(t-1),p_spread_(t-1),spread
12/31/03,468.90,577.67,18.31,-0.01%,,,0.16%,0.15%,,12/31/03,17.68%,-0.0468%,0.1132%,47.7194%,#NAME?,36.91%,#NAME?,-0.0074%
1/1/04,468.90,577.67,18.31,0.00%,,,0.00%,0.00%,,1/1/04,18.31%,0.1589%,0.1515%,53.9037%,#NAME?,44.54%,#NAME?,0.0000%
1/2/04,467.57,576.15,18.22,0.02%,,,-0.28%,-0.26%,,1/2/04,18.31%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,0.0220%
1/5/04,473.50,582.43,17.49,-0.18%,,,1.27%,1.09%,,1/5/04,18.22%,-0.2843%,-0.2623%,40.6549%,#NAME?,22.12%,#NAME?,-0.1789%
1/6/04,474.76,582.50,16.73,-0.25%,,,0.27%,0.01%,,1/6/04,17.49%,1.2689%,1.0900%,82.5259%,#NAME?,84.26%,#NAME?,-0.2541%
1/7/04,477.21,582.43,15.50,-0.53%,,,0.51%,-0.01%,,1/7/04,16.73%,0.2661%,0.0120%,57.0987%,#NAME?,41.60%,#NAME?,-0.5280%
1/8/04,478.94,585.92,15.61,0.24%,,,0.36%,0.60%,,1/8/04,15.50%,0.5150%,-0.0130%,64.3078%,#NAME?,43.28%,#NAME?,0.2369%
1/9/04,475.19,581.24,16.75,-0.02%,,,-0.78%,-0.80%,,1/9/04,15.61%,0.3623%,0.5992%,59.9282%,#NAME?,60.25%,#NAME?,-0.0165%
1/12/04,477.90,583.57,16.82,-0.17%,,,0.57%,0.40%,,1/12/04,16.75%,-0.7826%,-0.7991%,27.0124%,#NAME?,9.60%,#NAME?,-0.1693%
1/13/04,474.79,581.02,18.04,0.21%,,,-0.65%,-0.44%,,1/13/04,16.82%,0.5705%,0.4012%,65.8580%,#NAME?,61.44%,#NAME?,0.2140%
1/14/04,478.34,585.91,16.75,0.09%,,,0.75%,0.84%,,1/14/04,18.04%,-0.6508%,-0.4368%,30.3983%,#NAME?,14.26%,#NAME?,0.0938%
1/15/04,478.70,587.12,15.56,0.13%,,,0.07%,0.21%,,1/15/04,16.75%,0.7473%,0.8411%,70.6084%,#NAME?,73.81%,#NAME?,0.1327%
1/16/04,483.16,589.99,15.00,-0.44%,,,0.93%,0.49%,,1/16/04,15.56%,0.0748%,0.2075%,51.3786%,#NAME?,43.34%,#NAME?,-0.4448%
1/19/04,483.16,589.99,15.00,0.00%,,,0.00%,0.00%,,1/19/04,15.00%,0.9336%,0.4888%,75.2558%,#NAME?,68.74%,#NAME?,0.0000%
1/20/04,482.26,590.78,15.21,0.32%,,,-0.19%,0.13%,,1/20/04,15.00%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,0.3215%
1/21/04,484.88,596.35,14.34,0.40%,,,0.54%,0.94%,,1/21/04,15.21%,-0.1879%,0.1336%,43.4974%,#NAME?,32.45%,#NAME?,0.4006%
1/22/04,483.45,594.63,14.71,0.00%,,,-0.29%,-0.29%,,1/22/04,14.34%,0.5431%,0.9437%,65.0950%,#NAME?,69.81%,#NAME?,0.0045%
1/23/04,482.72,592.83,14.84,-0.15%,,,-0.15%,-0.30%,,1/23/04,14.71%,-0.2939%,-0.2894%,40.3739%,#NAME?,21.42%,#NAME?,-0.1516%
1/26/04,489.30,598.73,14.55,-0.37%,,,1.36%,0.99%,,1/26/04,14.84%,-0.1506%,-0.3022%,44.6091%,#NAME?,23.43%,#NAME?,-0.3681%
1/27/04,483.65,594.36,15.35,0.42%,,,-1.15%,-0.73%,,1/27/04,14.55%,1.3623%,0.9942%,84.2805%,#NAME?,83.66%,#NAME?,0.4238%
1/28/04,476.91,586.29,16.78,0.04%,,,-1.39%,-1.36%,,1/28/04,15.35%,-1.1535%,-0.7297%,18.6107%,#NAME?,7.85%,#NAME?,0.0374%
1/29/04,479.59,587.50,17.14,-0.36%,,,0.56%,0.21%,,1/29/04,16.78%,-1.3942%,-1.3568%,14.1421%,#NAME?,4.17%,#NAME?,-0.3565%
1/30/04,478.29,586.78,16.63,0.15%,,,-0.27%,-0.12%,,1/30/04,17.14%,0.5622%,0.2057%,65.6265%,#NAME?,54.52%,#NAME?,0.1492%
2/2/04,480.05,588.49,17.11,-0.08%,,,0.37%,0.29%,,2/2/04,16.63%,-0.2709%,-0.1217%,41.0484%,#NAME?,25.27%,#NAME?,-0.0764%
2/3/04,481.08,587.48,17.34,-0.39%,,,0.21%,-0.17%,,2/3/04,17.11%,0.3680%,0.2916%,60.0932%,#NAME?,54.04%,#NAME?,-0.3873%
2/4/04,476.93,582.42,17.87,0.00%,,,-0.86%,-0.86%,,2/4/04,17.34%,0.2141%,-0.1732%,55.5543%,#NAME?,32.83%,#NAME?,0.0030%
2/5/04,477.60,583.35,17.71,0.02%,,,0.14%,0.16%,,2/5/04,17.87%,-0.8633%,-0.8603%,25.0369%,#NAME?,8.65%,#NAME?,0.0198%
2/6/04,484.21,590.53,16.00,-0.15%,,,1.39%,1.23%,,2/6/04,17.71%,0.1401%,0.1599%,53.3383%,#NAME?,44.24%,#NAME?,-0.1542%
2/9/04,482.48,590.28,16.39,0.31%,,,-0.36%,-0.04%,,2/9/04,16.00%,1.3851%,1.2308%,84.6905%,#NAME?,86.87%,#NAME?,0.3133%
2/10/04,484.46,593.82,15.94,0.19%,,,0.41%,0.60%,,2/10/04,16.39%,-0.3569%,-0.0435%,38.5447%,#NAME?,24.81%,#NAME?,0.1908%
2/11/04,488.93,600.83,15.39,0.26%,,,0.92%,1.18%,,2/11/04,15.94%,0.4089%,0.5997%,61.2814%,#NAME?,61.75%,#NAME?,0.2583%
2/12/04,486.31,598.27,15.31,0.11%,,,-0.54%,-0.43%,,2/12/04,15.39%,0.9235%,1.1818%,75.0151%,#NAME?,80.66%,#NAME?,0.1090%
2/13/04,483.31,595.67,15.58,0.18%,,,-0.62%,-0.43%,,2/13/04,15.31%,-0.5355%,-0.4264%,33.5066%,#NAME?,15.77%,#NAME?,0.1835%
2/16/04,483.31,595.67,15.58,0.00%,,,0.00%,0.00%,,2/16/04,15.58%,-0.6181%,-0.4346%,31.2652%,#NAME?,14.66%,#NAME?,0.0000%
2/17/04,487.89,601.02,15.40,-0.05%,,,0.95%,0.90%,,2/17/04,15.58%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,-0.0516%
2/18/04,486.15,598.18,15.59,-0.12%,,,-0.36%,-0.47%,,2/18/04,15.40%,0.9489%,0.8973%,75.6193%,#NAME?,77.92%,#NAME?,-0.1153%
2/19/04,483.00,596.62,15.80,0.39%,,,-0.65%,-0.26%,,2/19/04,15.59%,-0.3570%,-0.4724%,38.5396%,#NAME?,17.23%,#NAME?,0.3870%
2/20/04,482.25,594.04,16.04,-0.28%,,,-0.16%,-0.43%,,2/20/04,15.80%,-0.6477%,-0.2608%,30.4781%,#NAME?,16.27%,#NAME?,-0.2767%
2/23/04,479.50,593.37,16.29,0.46%,,,-0.57%,-0.11%,,2/23/04,16.04%,-0.1551%,-0.4318%,44.4753%,#NAME?,20.40%,#NAME?,0.4572%
2/24/04,479.28,591.62,15.90,-0.25%,,,-0.05%,-0.29%,,2/24/04,16.29%,-0.5700%,-0.1128%,32.5613%,#NAME?,19.29%,#NAME?,-0.2478%
2/25/04,480.89,595.13,14.93,0.26%,,,0.34%,0.59%,,2/25/04,15.90%,-0.0469%,-0.2948%,47.7144%,#NAME?,25.24%,#NAME?,0.2560%
2/26/04,481.48,596.64,14.83,0.13%,,,0.12%,0.25%,,2/26/04,14.93%,0.3361%,0.5921%,59.1626%,#NAME?,59.28%,#NAME?,0.1324%
2/27/04,480.73,598.13,14.55,0.40%,,,-0.16%,0.25%,,2/27/04,14.83%,0.1219%,0.2542%,52.7919%,#NAME?,46.02%,#NAME?,0.4044%
3/1/04,485.68,603.89,14.44,-0.07%,,,1.03%,0.96%,,3/1/04,14.55%,-0.1551%,0.2492%,44.4730%,#NAME?,35.15%,#NAME?,-0.0674%
3/2/04,481.97,601.63,14.86,0.39%,,,-0.77%,-0.37%,,3/2/04,14.44%,1.0307%,0.9633%,77.5137%,#NAME?,79.95%,#NAME?,0.3917%
3/3/04,482.65,602.39,14.55,-0.01%,,,0.14%,0.13%,,3/3/04,14.86%,-0.7653%,-0.3736%,27.4448%,#NAME?,13.58%,#NAME?,-0.0148%
3/4/04,485.09,603.60,14.40,-0.31%,,,0.51%,0.20%,,3/4/04,14.55%,0.1415%,0.1267%,53.3815%,#NAME?,43.29%,#NAME?,-0.3066%
3/5/04,485.02,606.63,14.48,0.52%,,,-0.02%,0.50%,,3/5/04,14.40%,0.5068%,0.2002%,64.0766%,#NAME?,53.52%,#NAME?,0.5177%
3/8/04,479.58,603.39,15.79,0.59%,,,-1.12%,-0.53%,,3/8/04,14.48%,-0.0150%,0.5027%,48.6730%,#NAME?,43.58%,#NAME?,0.5864%
3/9/04,476.74,599.56,16.60,-0.04%,,,-0.59%,-0.64%,,3/9/04,15.79%,-1.1212%,-0.5348%,19.2709%,#NAME?,9.15%,#NAME?,-0.0426%
3/10/04,470.23,590.34,18.67,-0.17%,,,-1.36%,-1.54%,,3/10/04,16.60%,-0.5928%,-0.6354%,31.9448%,#NAME?,12.58%,#NAME?,-0.1729%
3/11/04,463.68,581.11,20.67,-0.17%,,,-1.39%,-1.56%,,3/11/04,18.67%,-1.3649%,-1.5378%,14.6432%,#NAME?,3.60%,#NAME?,-0.1705%
3/12/04,469.50,588.45,18.30,0.01%,,,1.25%,1.26%,,3/12/04,20.67%,-1.3927%,-1.5632%,14.1669%,#NAME?,3.47%,#NAME?,0.0096%
3/15/04,462.34,580.40,21.13,0.16%,,,-1.52%,-1.37%,,3/15/04,18.30%,1.2547%,1.2643%,82.2492%,#NAME?,85.90%,#NAME?,0.1566%
3/16/04,464.66,583.57,20.34,0.04%,,,0.50%,0.54%,,3/16/04,21.13%,-1.5246%,-1.3680%,12.0525%,#NAME?,3.81%,#NAME?,0.0435%
3/17/04,469.40,591.12,18.11,0.28%,,,1.02%,1.30%,,3/17/04,20.34%,0.5011%,0.5446%,63.9172%,#NAME?,63.38%,#NAME?,0.2753%
3/18/04,467.92,591.07,18.53,0.31%,,,-0.32%,-0.01%,,3/18/04,18.11%,1.0199%,1.2951%,77.2675%,#NAME?,83.01%,#NAME?,0.3058%
3/19/04,462.32,585.43,19.15,0.24%,,,-1.20%,-0.95%,,3/19/04,18.53%,-0.3151%,-0.0093%,39.7558%,#NAME?,26.40%,#NAME?,0.2430%
3/22/04,456.51,577.33,21.58,-0.13%,,,-1.26%,-1.38%,,3/22/04,19.15%,-1.1961%,-0.9532%,17.7608%,#NAME?,6.49%,#NAME?,-0.1265%
3/23/04,455.95,576.77,20.67,0.03%,,,-0.12%,-0.10%,,3/23/04,21.58%,-1.2576%,-1.3841%,16.5808%,#NAME?,4.39%,#NAME?,0.0262%
3/24/04,456.21,573.41,19.81,-0.64%,,,0.06%,-0.58%,,3/24/04,20.67%,-0.1238%,-0.0975%,45.4101%,#NAME?,29.21%,#NAME?,-0.6416%
3/25/04,465.12,581.10,17.88,-0.61%,,,1.95%,1.34%,,3/25/04,19.81%,0.0586%,-0.5831%,50.8886%,#NAME?,18.88%,#NAME?,-0.6101%
3/26/04,464.09,581.35,17.33,0.26%,,,-0.22%,0.04%,,3/26/04,17.88%,1.9517%,1.3416%,92.6589%,#NAME?,90.79%,#NAME?,0.2626%
3/29/04,470.71,588.03,16.50,-0.28%,,,1.43%,1.15%,,3/29/04,17.33%,-0.2197%,0.0428%,42.5548%,#NAME?,29.91%,#NAME?,-0.2759%
3/30/04,472.10,591.20,16.28,0.24%,,,0.29%,0.54%,,3/30/04,16.50%,1.4258%,1.1499%,85.4054%,#NAME?,86.31%,#NAME?,0.2443%
3/31/04,471.45,591.78,16.74,0.23%,,,-0.14%,0.10%,,3/31/04,16.28%,0.2944%,0.5387%,57.9368%,#NAME?,57.10%,#NAME?,0.2340%
4/1/04,474.34,595.39,16.65,0.00%,,,0.61%,0.61%,,4/1/04,16.74%,-0.1364%,0.0976%,45.0321%,#NAME?,33.54%,#NAME?,-0.0018%
4/2/04,480.38,597.19,15.64,-0.97%,,,1.27%,0.30%,,4/2/04,16.65%,0.6115%,0.6097%,66.9862%,#NAME?,67.23%,#NAME?,-0.9705%
4/5/04,484.70,600.45,14.97,-0.35%,,,0.90%,0.55%,,4/5/04,15.64%,1.2740%,0.3035%,82.6246%,#NAME?,63.37%,#NAME?,-0.3528%
4/6/04,482.56,599.76,15.32,0.32%,,,-0.44%,-0.11%,,4/6/04,14.97%,0.8987%,0.5459%,74.4157%,#NAME?,70.09%,#NAME?,0.3249%
4/7/04,479.80,596.17,15.76,-0.03%,,,-0.57%,-0.60%,,4/7/04,15.32%,-0.4399%,-0.1149%,36.1732%,#NAME?,21.84%,#NAME?,-0.0254%
4/8/04,479.18,595.25,16.26,-0.03%,,,-0.13%,-0.15%,,4/8/04,15.76%,-0.5738%,-0.5992%,32.4588%,#NAME?,13.17%,#NAME?,-0.0254%
4/9/04,479.18,595.25,16.26,0.00%,,,0.00%,0.00%,,4/9/04,16.26%,-0.1286%,-0.1540%,45.2657%,#NAME?,27.58%,#NAME?,0.0000%
4/12/04,481.71,597.19,15.28,-0.20%,,,0.53%,0.33%,,4/12/04,16.26%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,-0.2024%
4/13/04,475.73,587.98,17.26,-0.30%,,,-1.24%,-1.54%,,4/13/04,15.28%,0.5288%,0.3264%,64.6963%,#NAME?,58.42%,#NAME?,-0.3006%
4/14/04,475.93,585.70,15.62,-0.43%,,,0.04%,-0.39%,,4/14/04,17.26%,-1.2422%,-1.5429%,16.8704%,#NAME?,3.81%,#NAME?,-0.4301%
4/15/04,476.42,585.77,15.74,-0.09%,,,0.10%,0.01%,,4/15/04,15.62%,0.0427%,-0.3874%,50.4104%,#NAME?,23.78%,#NAME?,-0.0919%
4/16/04,477.87,589.58,14.94,0.35%,,,0.30%,0.65%,,4/16/04,15.74%,0.1032%,0.0113%,52.2303%,#NAME?,38.34%,#NAME?,0.3462%
4/19/04,479.70,589.31,15.42,-0.43%,,,0.38%,-0.05%,,4/19/04,14.94%,0.3046%,0.6508%,58.2349%,#NAME?,58.88%,#NAME?,-0.4279%
4/20/04,471.75,580.88,16.67,0.23%,,,-1.66%,-1.43%,,4/20/04,15.42%,0.3821%,-0.0458%,60.5044%,#NAME?,40.38%,#NAME?,0.2275%
4/21/04,475.00,583.30,15.60,-0.27%,,,0.69%,0.42%,,4/21/04,16.67%,-1.6573%,-1.4298%,10.1598%,#NAME?,3.31%,#NAME?,-0.2728%
4/22/04,481.07,592.27,14.61,0.26%,,,1.28%,1.54%,,4/22/04,15.60%,0.6881%,0.4152%,69.0514%,#NAME?,63.74%,#NAME?,0.2590%
4/23/04,482.54,590.51,14.01,-0.60%,,,0.30%,-0.30%,,4/23/04,14.61%,1.2798%,1.5388%,82.7369%,#NAME?,87.66%,#NAME?,-0.6023%
4/26/04,479.85,589.44,14.77,0.38%,,,-0.56%,-0.18%,,4/26/04,14.01%,0.3049%,-0.2973%,58.2462%,#NAME?,28.77%,#NAME?,0.3757%
4/27/04,480.21,591.16,15.07,0.22%,,,0.07%,0.29%,,4/27/04,14.77%,-0.5571%,-0.1814%,32.9150%,#NAME?,18.68%,#NAME?,0.2179%
4/28/04,473.23,583.43,16.29,0.15%,,,-1.45%,-1.31%,,4/28/04,15.07%,0.0746%,0.2925%,51.3715%,#NAME?,45.02%,#NAME?,0.1451%
4/29/04,469.58,578.37,16.60,-0.10%,,,-0.77%,-0.87%,,4/29/04,16.29%,-1.4529%,-1.3078%,13.1726%,#NAME?,4.19%,#NAME?,-0.0957%
4/30/04,465.76,576.26,17.19,0.45%,,,-0.82%,-0.37%,,4/30/04,16.60%,-0.7713%,-0.8669%,27.2947%,#NAME?,9.12%,#NAME?,0.4494%
5/3/04,470.21,581.48,16.62,-0.05%,,,0.96%,0.91%,,5/3/04,17.19%,-0.8154%,-0.3660%,26.1993%,#NAME?,13.09%,#NAME?,-0.0496%
5/4/04,470.84,582.88,16.55,0.11%,,,0.13%,0.24%,,5/4/04,16.62%,0.9557%,0.9060%,75.7792%,#NAME?,78.14%,#NAME?,0.1060%
5/5/04,472.31,583.82,15.77,-0.15%,,,0.31%,0.16%,,5/5/04,16.55%,0.1344%,0.2404%,53.1687%,#NAME?,46.14%,#NAME?,-0.1506%
5/6/04,469.46,579.10,17.05,-0.21%,,,-0.60%,-0.81%,,5/6/04,15.77%,0.3120%,0.1614%,58.4539%,#NAME?,48.58%,#NAME?,-0.2055%
5/7/04,464.93,568.24,18.13,-0.91%,,,-0.97%,-1.88%,,5/7/04,17.05%,-0.6019%,-0.8074%,31.6989%,#NAME?,10.70%,#NAME?,-0.9087%
5/10/04,461.52,559.13,19.77,-0.87%,,,-0.73%,-1.60%,,5/10/04,18.13%,-0.9664%,-1.8751%,22.6275%,#NAME?,3.14%,#NAME?,-0.8697%
5/11/04,465.72,563.36,18.57,-0.16%,,,0.91%,0.76%,,5/11/04,19.77%,-0.7334%,-1.6032%,28.2520%,#NAME?,4.47%,#NAME?,-0.1555%
5/12/04,465.18,565.30,18.14,0.46%,,,-0.12%,0.34%,,5/12/04,18.57%,0.9113%,0.7558%,74.7225%,#NAME?,75.06%,#NAME?,0.4620%
5/13/04,464.66,565.35,18.86,0.12%,,,-0.11%,0.01%,,5/13/04,18.14%,-0.1175%,0.3445%,45.5990%,#NAME?,37.62%,#NAME?,0.1187%
5/14/04,462.56,566.71,18.47,0.69%,,,-0.45%,0.24%,,5/14/04,18.86%,-0.1109%,0.0078%,45.7943%,#NAME?,32.33%,#NAME?,0.6922%
5/17/04,458.03,560.18,19.96,-0.17%,,,-0.98%,-1.15%,,5/17/04,18.47%,-0.4511%,0.2411%,35.8564%,#NAME?,25.35%,#NAME?,-0.1723%
5/18/04,461.41,564.01,19.33,-0.05%,,,0.74%,0.68%,,5/18/04,19.96%,-0.9800%,-1.1523%,22.3210%,#NAME?,6.28%,#NAME?,-0.0531%
5/19/04,459.83,563.02,18.93,0.17%,,,-0.34%,-0.18%,,5/19/04,19.33%,0.7377%,0.6846%,70.3595%,#NAME?,71.12%,#NAME?,0.1667%
5/20/04,459.55,563.99,18.67,0.23%,,,-0.06%,0.17%,,5/20/04,18.93%,-0.3431%,-0.1764%,38.9432%,#NAME?,22.72%,#NAME?,0.2318%
5/21/04,461.40,566.24,18.49,0.00%,,,0.40%,0.40%,,5/21/04,18.67%,-0.0600%,0.1718%,47.3209%,#NAME?,37.64%,#NAME?,-0.0019%
5/24/04,461.89,568.06,18.08,0.21%,,,0.11%,0.32%,,5/24/04,18.49%,0.4017%,0.3998%,61.0723%,#NAME?,57.70%,#NAME?,0.2133%
5/25/04,469.50,577.31,15.96,-0.02%,,,1.65%,1.63%,,5/25/04,18.08%,0.1077%,0.3211%,52.3671%,#NAME?,46.80%,#NAME?,-0.0169%
5/26/04,470.73,578.52,15.97,-0.05%,,,0.26%,0.21%,,5/26/04,15.96%,1.6456%,1.6287%,88.8741%,#NAME?,91.15%,#NAME?,-0.0541%
5/27/04,474.05,580.61,15.28,-0.34%,,,0.70%,0.36%,,5/27/04,15.97%,0.2630%,0.2089%,57.0082%,#NAME?,49.04%,#NAME?,-0.3434%
5/28/04,473.93,580.86,15.50,0.07%,,,-0.02%,0.04%,,5/28/04,15.28%,0.7047%,0.3613%,69.4909%,#NAME?,62.20%,#NAME?,0.0681%
5/31/04,473.93,580.86,15.50,0.00%,,,0.00%,0.00%,,5/31/04,15.50%,-0.0238%,0.0443%,48.4086%,#NAME?,35.91%,#NAME?,0.0000%
6/1/04,474.20,581.23,16.30,0.01%,,,0.06%,0.06%,,6/1/04,15.50%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,0.0074%
6/2/04,475.53,583.32,16.08,0.08%,,,0.28%,0.36%,,6/2/04,16.30%,0.0563%,0.0637%,50.8217%,#NAME?,38.89%,#NAME?,0.0786%
6/3/04,471.86,578.48,17.03,-0.06%,,,-0.77%,-0.83%,,6/3/04,16.08%,0.2811%,0.3598%,57.5426%,#NAME?,53.45%,#NAME?,-0.0571%
6/4/04,474.60,581.30,16.78,-0.09%,,,0.58%,0.49%,,6/4/04,17.03%,-0.7737%,-0.8308%,27.2353%,#NAME?,9.40%,#NAME?,-0.0928%
6/7/04,482.44,589.97,15.39,-0.16%,,,1.65%,1.49%,,6/7/04,16.78%,0.5813%,0.4885%,66.1569%,#NAME?,63.96%,#NAME?,-0.1600%
6/8/04,483.41,590.03,15.01,-0.19%,,,0.20%,0.01%,,6/8/04,15.39%,1.6513%,1.4913%,88.9551%,#NAME?,90.53%,#NAME?,-0.1932%
6/9/04,477.99,585.17,15.39,0.30%,,,-1.12%,-0.82%,,6/9/04,15.01%,0.2023%,0.0092%,55.2012%,#NAME?,40.36%,#NAME?,0.2971%
6/10/04,479.55,587.99,15.04,0.16%,,,0.33%,0.48%,,6/10/04,15.39%,-1.1206%,-0.8235%,19.2835%,#NAME?,7.51%,#NAME?,0.1571%
6/11/04,479.55,587.99,15.04,0.00%,,,0.00%,0.00%,,6/11/04,15.04%,0.3251%,0.4823%,58.8393%,#NAME?,57.21%,#NAME?,0.0000%
6/14/04,475.31,581.20,16.07,-0.27%,,,-0.88%,-1.15%,,6/14/04,15.04%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,-0.2713%
6/15/04,478.30,584.79,15.05,-0.01%,,,0.63%,0.62%,,6/15/04,16.07%,-0.8833%,-1.1546%,24.5578%,#NAME?,6.61%,#NAME?,-0.0109%
6/16/04,478.55,586.37,14.79,0.22%,,,0.05%,0.27%,,6/16/04,15.05%,0.6282%,0.6173%,67.4415%,#NAME?,67.73%,#NAME?,0.2178%
6/17/04,476.89,586.78,15.15,0.42%,,,-0.35%,0.07%,,6/17/04,14.79%,0.0521%,0.2698%,50.6929%,#NAME?,43.74%,#NAME?,0.4174%
6/18/04,477.51,588.84,14.99,0.22%,,,0.13%,0.35%,,6/18/04,15.15%,-0.3463%,0.0711%,38.8513%,#NAME?,26.81%,#NAME?,0.2201%
6/21/04,475.11,587.11,15.26,0.21%,,,-0.50%,-0.29%,,6/21/04,14.99%,0.1298%,0.3499%,53.0303%,#NAME?,48.14%,#NAME?,0.2086%
6/22/04,477.13,589.00,14.31,-0.10%,,,0.42%,0.32%,,6/22/04,15.26%,-0.5016%,-0.2930%,34.4435%,#NAME?,18.09%,#NAME?,-0.1019%
6/23/04,481.23,594.07,13.98,0.00%,,,0.86%,0.86%,,6/23/04,14.31%,0.4233%,0.3214%,61.6951%,#NAME?,56.16%,#NAME?,0.0013%
6/24/04,479.64,592.63,14.81,0.09%,,,-0.33%,-0.24%,,6/24/04,13.98%,0.8593%,0.8606%,73.4513%,#NAME?,76.06%,#NAME?,0.0873%
6/25/04,476.59,590.17,15.19,0.22%,,,-0.64%,-0.42%,,6/25/04,14.81%,-0.3294%,-0.2421%,39.3406%,#NAME?,21.74%,#NAME?,0.2209%
6/28/04,475.49,590.09,16.07,0.22%,,,-0.23%,-0.01%,,6/28/04,15.19%,-0.6365%,-0.4156%,30.7753%,#NAME?,14.67%,#NAME?,0.2165%
6/29/04,477.35,590.65,15.47,-0.30%,,,0.39%,0.09%,,6/29/04,16.07%,-0.2298%,-0.0132%,42.2584%,#NAME?,28.53%,#NAME?,-0.2957%
6/30/04,479.35,593.47,14.34,0.06%,,,0.42%,0.48%,,6/30/04,15.47%,0.3899%,0.0942%,60.7309%,#NAME?,47.24%,#NAME?,0.0596%
7/1/04,473.45,588.35,15.20,0.37%,,,-1.23%,-0.86%,,7/1/04,14.34%,0.4192%,0.4788%,61.5777%,#NAME?,59.91%,#NAME?,0.3671%
7/2/04,471.18,587.73,15.08,0.37%,,,-0.48%,-0.10%,,7/2/04,15.20%,-1.2308%,-0.8637%,17.0878%,#NAME?,6.77%,#NAME?,0.3745%
7/5/04,471.18,587.73,15.08,0.00%,,,0.00%,0.00%,,7/5/04,15.08%,-0.4788%,-0.1044%,35.0772%,#NAME?,21.20%,#NAME?,0.0000%
7/6/04,465.57,584.50,16.25,0.64%,,,-1.19%,-0.55%,,7/6/04,15.08%,0.0000%,0.0000%,49.1258%,#NAME?,35.29%,#NAME?,0.6411%
7/7/04,466.74,585.49,15.81,-0.08%,,,0.25%,0.17%,,7/7/04,16.25%,-1.1917%,-0.5506%,17.8484%,#NAME?,8.58%,#NAME?,-0.0825%
7/8/04,462.33,580.84,16.20,0.15%,,,-0.95%,-0.80%,,7/8/04,15.81%,0.2530%,0.1706%,56.7109%,#NAME?,47.58%,#NAME?,0.1504%
7/9/04,463.68,582.88,15.78,0.06%,,,0.29%,0.35%,,7/9/04,16.20%,-0.9455%,-0.7951%,23.1055%,#NAME?,8.64%,#NAME?,0.0587%
7/12/04,463.03,584.69,14.96,0.45%,,,-0.14%,0.31%,,7/12/04,15.78%,0.2918%,0.3505%,57.8581%,#NAME?,53.56%,#NAME?,0.4505%
7/13/04,463.44,584.80,14.46,-0.07%,,,0.09%,0.02%,,7/13/04,14.96%,-0.1391%,0.3114%,44.9517%,#NAME?,36.42%,#NAME?,-0.0699%
7/14/04,460.81,584.49,13.76,0.52%,,,-0.57%,-0.05%,,7/14/04,14.46%,0.0879%,0.0180%,51.7713%,#NAME?,38.21%,#NAME?,0.5161%
7/15/04,459.04,582.54,14.71,0.05%,,,-0.38%,-0.33%,,7/15/04,13.76%,-0.5679%,-0.0518%,32.6186%,#NAME?,20.03%,#NAME?,0.0498%
7/16/04,455.29,581.57,14.34,0.65%,,,-0.82%,-0.17%,,7/16/04,14.71%,-0.3839%,-0.3341%,37.7674%,#NAME?,19.23%,#NAME?,0.6513%
7/19/04,453.64,582.89,15.17,0.59%,,,-0.36%,0.23%,,7/19/04,14.34%,-0.8178%,-0.1665%,26.1406%,#NAME?,14.72%,#NAME?,0.5901%
7/20/04,458.34,585.78,14.17,-0.54%,,,1.04%,0.50%,,7/20/04,15.17%,-0.3626%,0.2275%,38.3786%,#NAME?,27.88%,#NAME?,-0.5403%
7/21/04,450.49,579.05,16.41,0.56%,,,-1.71%,-1.15%,,7/21/04,14.17%,1.0361%,0.4958%,77.6344%,#NAME?,69.77%,#NAME?,0.5612%
7/22/04,452.58,579.10,15.75,-0.45%,,,0.46%,0.01%,,7/22/04,16.41%,-1.7110%,-1.1497%,9.4590%,#NAME?,3.93%,#NAME?,-0.4539%
7/23/04,446.15,575.78,16.50,0.85%,,,-1.42%,-0.57%,,7/23/04,15.75%,0.4637%,0.0098%,62.8545%,#NAME?,44.04%,#NAME?,0.8484%
7/26/04,444.18,574.70,17.30,0.25%,,,-0.44%,-0.19%,,7/26/04,16.50%,-1.4221%,-0.5736%,13.6759%,#NAME?,7.05%,#NAME?,0.2514%
7/27/04,449.21,579.65,16.55,-0.27%,,,1.13%,0.86%,,7/27/04,17.30%,-0.4400%,-0.1886%,36.1696%,#NAME?,20.69%,#NAME?,-0.2699%
7/28/04,448.12,580.88,16.15,0.46%,,,-0.24%,0.21%,,7/28/04,16.55%,1.1326%,0.8627%,79.7514%,#NAME?,79.50%,#NAME?,0.4551%
